paragraph_id,sentence_id,sentence_function,depends_on,new_information,evidence_or_definition,problem,revision
AB,s1,范围限定,全文主题:部署场景,部署中 TSFM 可能收到含缺失观测的上下文,none,none,none
AB,s2,原因,s1 的 missing observations,repair 效用逐请求变化→系统必须在候选修复与不变输入之间选择,none,none,none
AB,s3,操作,s2 的 this choice,引入 IntroAct-TS:逐请求做此选择且保留观测值与模型参数,none,none,none
AB,s4,操作,s3 的 IntroAct-TS,在历史窗口执行固定修复目录并记录相对不变输入的 forecasting utility,none,none,none
AB,s5,操作,s4 的 utilities,部署时从相似历史状态估计各动作效用;dispersion-penalised score>0 才干预否则返回参考预测,none,none,none
AB,s6,范围限定,s3-s5 的方法,评估覆盖 8 源/3 冻结骨干/4 缺失模式/2 horizon 且使用此前已检查过的测试数据,E11,none,none
AB,s7,结果,s6 的 evaluation,10% 缺失下 source-macro MASE 1.437 vs 1.576 配对区间三骨干均不含零;harmful loss 0.0375 vs 最佳固定修复 0.0513,E31/E32/E41 与 tab:main,指代不明(harmful loss 在摘要使用但主文无定义),在 harmful loss 首次主文出现处补一句定义
AB,s8,结果,s7 的 margins,对更强简单对照的优势集中于一个来源;来源级固定策略在 2/3 骨干上至少同等准确;频率匹配对照显示 accuracy-harm 权衡,E34/E35/E44,none,none
AB,s9,范围限定,s6 的 previously examined test data,结论为探索性需独立确认,E14,none,none
I1,s1,衔接,段落主题:部署场景与约束,TSFM 免任务重训练支持预测但部署上下文可能因传感器故障/延迟含缺失观测,引用 ansari2024chronos 等,none,none
I1,s2,定义,s1 的 fixed predictor 设定,研究约束:保留每个有效观测,none,none,none
I1,s3,解释,s2 的 constraint,修复可填补未观测位置;是否采用修复输入须按其对未来预测的影响判断,none,none,none
I1,s4,衔接,s3 的判断标准,研究问题:不完整请求应得到哪个修复以及何时保持输入不变,none,none,none
I2,s1,衔接,I1 的 missing inputs,缺失输入已在不同处理阶段被处理,none,none,none
I2,s2,对比,s1 的 stages,imputation 从时间/跨通道结构重构缺失值;missingness-aware forecaster 在训练中利用不完整上下文,引用 cao2018brits 等,none,none
I2,s3,对比,s2 的两类方法,task-oriented imputation 以下游效果评价修复;TATO 为冻结预测器按历史任务表现选择变换流水线,引用 wang2024taskoriented/qiu2026tato,none,none
I2,s4,范围限定,s3 的 downstream criterion,本文采用下游预测表现为准则但决策更细:固定目录内不同请求可得不同修复或不修复,none,none,none
I3,s1,定义,I2 s4 的 repair decision,修复价值=相对不变输入的预测损失变化且随请求与冻结骨干变化,none,none,none
I3,s2,原因,s1 的 varies,修复可恢复局部模式却增大预测损失;骨干自带缺失处理可能已足够,none,none,none
I3,s3,原因,s1 的 utility,部署时未来目标不可得→决策时刻无法实测效用,none,none,none
I3,s4,操作,s3 的 unavailable target,历史窗口目标已观测→可在同一窗口执行全部可行动作并与不变输入成对比较,none,none,none
I3,s5,衔接,s4 的 utility labels,所得效用标签提供修复选择所需监督;剩下的是从标签估计各动作对新请求的作用,none,none,none
I4,s1,衔接,I3 s5 的 utility labels,IntroAct-TS 用这些历史效用标签做逐请求修复决策,none,none,none
I4,s2,操作,s1 的 decision,离线:存储各动作实现的效用与检索用状态,none,none,none
I4,s3,操作,s2 的 records,在线:按动作检索邻近历史记录并计算局部均值效用与离散度,none,none,none
I4,s4,操作,s3 的 mean/dispersion,均值减离散惩罚;最高分>0 才执行修复否则返回缓存参考预测,none,none,none
I4,s5,结果,s4 的 procedure,过程用 1 次骨干调用做参考加至多 1 次修复调用,none,none,none
I4,s6,范围限定,s5 的 calls,候选输入在选择前构建其成本单独记账,none,none,none
I5,s1,衔接,I1-I4 的问题与方法,本文三点贡献,none,none,none
I5,s2,定义,s1 的 contributions,贡献1:把冻结预测器的缺失输入处理形式化为逐请求动作选择且不变输入在决策空间内,none,none,none
I5,s3,操作,s1 的 contributions,贡献2:历史全动作回放:相对 Keep 的效用标签+动作条件局部估计器+离散惩罚决策规则,none,none,none
I5,s4,结果,s1 的 contributions,贡献3:8 源 3 骨干对固定修复与简单选择策略的评估报告误差/干预损害/成本并保留不利比较,none,none,none
I6,s1,范围限定,I5 s4 的 evaluation,评估边界:早期在同一测试数据上的结果影响了当前设计,none,none,none
I6,s2,范围限定,s1 的 boundary,报告比较为探索性而非独立确认;§4.1 精确陈述边界,E14,none,none
R21,s1,对比,小节主题:不完整时间序列建模,imputation 用时间或跨通道结构重构不可得值,引用 cao2018brits 等,none,none
R21,s2,对比,s1 的 imputation,missingness-aware forecasting 改为将观测模式纳入训练好的预测器,引用 chen2024bitgraph 等,none,none
R21,s3,对比,s2,task-oriented 方法把插补连接到下游目标,引用 wang2024taskoriented 等,none,none
R21,s4,衔接,s1-s3 的已有工作,两个区别定位本文设定,none,none,none
R21,s5,对比,s4 的 distinctions,输入侧:variable subset forecasting 推理时移除整个变量而本文请求是上下文内部缺口,none,none,none
R21,s6,对比,s4 的 distinctions,模型侧:missingness-aware 需控制预测器训练而本文预测器保持冻结,none,none,none
R21,s7,结果,s5-s6 的两点区别,因此训练的 imputer 可提供候选修复而决策层决定该修复是否用于当前请求,none,none,none
R22,s1,解释,小节主题:冻结 TSFM 的数据侧适配,TATO 不更新参数:搜索变换流水线并按历史任务表现选择,qiu2026tato,none,none
R22,s2,解释,s1 的 TATO,其适配单元是目标域:一条流水线服务多个请求,none,none,none
R22,s3,对比,s2 的 domain unit,IntroAct-TS 在固定目录上逐请求单独决策并用该骨干记录的预测结果,none,none,none
R22,s4,范围限定,小节主题,TS-ICL 原生支持插补与部分观测回看窗;在本文仅作为两个目录动作的 in-context 回归后端,tsicl2026,none,none
R23,s1,对比,小节主题:选择性决策,selective prediction 以覆盖率换低风险;learning to defer 把请求路由给另一决策者,引用 chow1970optimum/madras2018predict 等,none,none
R23,s2,对比,s1 的两类工作,IntroAct-TS 对每个请求保留同一预测器只选择是否修改其输入,none,none,none
R23,s3,范围限定,s2 的 keep input,保持输入仍返回预测;不是拒绝回答,none,none,none
R23,s4,解释,s2 的选择机制,这是逐实例算法选择的一种由各修复的预测效用监督,引用 rice1976algorithm/xu2008satzilla,none,none
R23,s5,操作,s4 的监督,在历史窗口执行全部可行动作给出全动作反馈,none,none,none
R23,s6,对比,s5 的 full action feedback,off-policy evaluation 通常只观测已记录动作的结果,引用 dudik2011doubly/swaminathan2015counterfactual,none,none
R23,s7,衔接,s6,附录详述与 off-policy evaluation 的关系,app:ope-positioning,none,none
R23,s8,衔接,s5 的 full action feedback,§3 相应把决策对象限定为固定动作目录并用历史窗口记录的全动作反馈监督选择,none,none,none
M11,s1,定义,小节主题:问题设定,X∈R^{C×L} 为 C 通道长 L 的上下文;M 为观测掩码,none,none,none
M11,s2,定义,s1 的上下文,未来目标 Y 对决策过程不可得,none,none,none
M11,s3,定义,s1,冻结流水线 F 含骨干内部预处理并返回 p=F(X),none,none,none
M11,s4,解释,s3 的 F,参考动作把不完整上下文原样送入 F;其缺失处理是骨干自带的故跨骨干不同(§4.2 度量);逐骨干适配行为见附录,§4.2 与 app:method-details,交叉引用不当(§4.2 报告的是动作级效用变化与重构排序诊断并未给出跨骨干原生缺失处理的度量),把引用指向实际量化逐骨干 Keep 行为差异的表或附录
M12,s1,定义,M11 的 input,系统只能通过固定目录 A={a_0..a_J} 修改输入:参考动作之外有 J 个干预,none,none,none
M12,s2,定义,s1 的 catalog,"每个动作 a 物化一个可行输入版本 X^a=T_a(X,M)",none,none,none
M12,s3,定义,s2 的 action,参考动作 a_0 原样返回输入对应无外部干预;A^+ 收集修改输入的动作,none,none,none
M12,s4,衔接,s3 的 reference,修复是否值得执行对照此参考度量,none,none,none
M12,s5,定义,s4 的度量,ℓ=episode 级 MASE 兼作主评估指标使回放效用与报告误差同一尺度,none,none,none
M12,s6,定义,s5 的 ℓ,对实现目标 Y 动作 a 的 forecasting utility=参考损失减修复损失(式1),eq:utility,none,none
M12,s7,解释,s6 的 g_a,g_a>0 表示修复相对不变输入改善了预测;<0 表示恶化,eq:utility,none,none
M12,s8,定义,s6-s7,"任务:在无 Y 访问下选择 a*(X,M)∈A 且保持冻结骨干调用次数少",none,none,none
M13,s1,衔接,M12 的任务定义,四条约束定义部署协议,none,none,none
M13,s2,定义,s1 的 constraints,已到达且有效的观测不得覆盖:X^a 仅在 M=0 处与 X^a0 不同,none,none,none
M13,s3,定义,s1 的 constraints,修复只能写可见目标范围加三个稳健尺度内的值;越界候选记为 unsupported 而不执行,none,指代不明(visible target 与 M11 s2 定义的不可得未来目标 Y 字面冲突易误读),改为"上下文中目标通道可见部分的范围"或首次出现处加注
M13,s4,定义,s3 的 bound,该界随协议注册对 bank 与服务请求一致成立,none,指代不明(the bank 在 §3.2 定义回放库之前出现),改为"§3.2 构建的回放库"或把该句移到回放库定义之后
M13,s5,定义,s1 的 constraints,未来目标不可得→部署时无可观测的实现损失,none,none,none
M13,s6,定义,s1 的 constraints,参考预测是决策前唯一可计算的预测,none,none,none
M13,s7,操作,s6 的 call budget,请求可花 1 次骨干调用得 p_0=F(X^a0);选择动作时不得查看其余候选的预测,none,none,none
M21,s1,原因,M12 的 g_a,g_a 依赖 Y 在线不可观测但对目标已在可用历史中的历史窗口可计算,eq:utility,none,none
M21,s2,操作,s1 的历史窗口,"取窗口 i 注入注册缺失协议得 (X_i,M_i) 物化每个动作并在各版本上执行冻结流水线",none,none,none
M21,s3,定义,s2 的执行,"动作 a 在窗口 i 的实现效用 g_{i,a}(式2)",eq:replay-gain,none,none
M21,s4,解释,s3 的式2,两个预测对同一实现未来评估,eq:replay-gain,none,none
M21,s5,结果,s4,损失差记录该动作在该历史窗口的预测效应,none,none,none
M22,s1,原因,M21 的 utility label,效用标签只有在历史窗口能匹配到部署请求时才有用→每个结果与检索状态一起存储,none,none,none
M22,s2,定义,s1 的 retrieval state,"状态动作条件化:z_{i,a}=φ(X_i,M_i,X_i^a,p_i^0) 其中 p_i^0 与 X_i^a 已定义",none,排版/交叉引用(label eq:state 位于正文行内而非公式环境 eqref 将渲染为小节号 3.2),把状态定义放入 equation 环境或改用文字式引用
M22,s3,范围限定,s2 的 state,状态可用协议已允许的 p_i^0;绝不使用未选中候选的预测,M13 s6-s7,none,none
M22,s4,定义,s1 的存储,"回放库 B={(z_{i,a},a,g_{i,a})} 由 TRAIN 历史构建一次后冻结",none,none,none
M22,s5,操作,s4 的 bank,部署读库而从不写库,none,none,none
M23,s1,衔接,M22 的 bank,回放库的两个性质设定方法适用范围,none,none,none
M23,s2,范围限定,s1 的 properties,一个模型一个版本测得的效用不描述另一个→库按冻结骨干版本构建;服务新骨干族需重建,none,none,none
M23,s3,范围限定,s1 的 properties,库只覆盖预先注册的缺失协议→模式与严重度上的离散网格,none,none,none
M23,s4,衔接,s2-s3,附录报告各项限制的代价,app:replay,none,none
M24,s1,定义,M22 的 records,用这些记录服务新请求依赖一个假设:邻近动作条件状态有足够相似的效用来指导选择,none,none,none
M24,s2,衔接,s1 的 assumption,§4.5 与附录检验该假设;估计器本身在下节定义,sec:exp-ablation 与 app:transfer,none,none
M31,s1,定义,M24 s2 的 estimator,估计器=固定标准化特征空间中同动作邻近状态记录效用的加权平均,none,none,none
M31,s2,定义,s1 的特征空间,z_a 含 22 个数分四组:缺失方式/目标通道可见部分形态/X^a 与 X^a0 的差异/参考预测 p_0 形态,eq:state(引用目标有缺陷),交叉引用(同 M22 s2:eqref eq:state 渲染错误),同 M22 s2 的修改方向
